"Gender","Age Groups","Date","Veterans"
"Male","20 <","9/30/2010"," 69"
"Male","20-24","9/30/2010"," 2,974"
"Male","25-29","9/30/2010"," 9,883"
"Male","30-34","9/30/2010"," 12,744"
"Male","35-39","9/30/2010"," 16,488"
"Male","40-44","9/30/2010"," 23,850"
"Male","45-49","9/30/2010"," 29,768"
"Male","50-54","9/30/2010"," 34,752"
"Male","55-59","9/30/2010"," 36,972"
"Male","60-64","9/30/2010"," 57,361"
"Male","65-69","9/30/2010"," 41,367"
"Male","70-74","9/30/2010"," 33,751"
"Male","75-79","9/30/2010"," 33,330"
"Male","80-84","9/30/2010"," 26,166"
"Male","85+","9/30/2010"," 20,379"
"Male","20 <","9/30/2010"," 18"
"Male","20-24","9/30/2010"," 1,036"
"Male","25-29","9/30/2010"," 3,105"
"Male","30-34","9/30/2010"," 3,364"
"Male","35-39","9/30/2010"," 3,720"
"Male","40-44","9/30/2010"," 5,284"
"Male","45-49","9/30/2010"," 6,995"
"Male","50-54","9/30/2010"," 7,377"
"Male","55-59","9/30/2010"," 7,302"
"Male","60-64","9/30/2010"," 9,164"
"Male","65-69","9/30/2010"," 5,893"
"Male","70-74","9/30/2010"," 3,410"
"Male","75-79","9/30/2010"," 2,471"
"Male","80-84","9/30/2010"," 1,685"
"Male","85+","9/30/2010"," 1,348"
"Male","20 <","9/30/2010"," 75"
"Male","20-24","9/30/2010"," 4,032"
"Male","25-29","9/30/2010"," 13,174"
"Male","30-34","9/30/2010"," 20,001"
"Male","35-39","9/30/2010"," 21,488"
"Male","40-44","9/30/2010"," 29,329"
"Male","45-49","9/30/2010"," 34,558"
"Male","50-54","9/30/2010"," 39,465"
"Male","55-59","9/30/2010"," 40,832"
"Male","60-64","9/30/2010"," 69,085"
"Male","65-69","9/30/2010"," 54,899"
"Male","70-74","9/30/2010"," 45,231"
"Male","75-79","9/30/2010"," 44,820"
"Male","80-84","9/30/2010"," 36,325"
"Male","85+","9/30/2010"," 30,731"
"Male","20 <","9/30/2010"," 47"
"Male","20-24","9/30/2010"," 2,408"
"Male","25-29","9/30/2010"," 6,650"
"Male","30-34","9/30/2010"," 8,307"
"Male","35-39","9/30/2010"," 10,112"
"Male","40-44","9/30/2010"," 14,272"
"Male","45-49","9/30/2010"," 16,421"
"Male","50-54","9/30/2010"," 19,344"
"Male","55-59","9/30/2010"," 21,918"
"Male","60-64","9/30/2010"," 36,460"
"Male","65-69","9/30/2010"," 26,492"
"Male","70-74","9/30/2010"," 21,323"
"Male","75-79","9/30/2010"," 20,609"
"Male","80-84","9/30/2010"," 15,596"
"Male","85+","9/30/2010"," 13,460"
"Male","20 <","9/30/2010"," 411"
"Male","20-24","9/30/2010"," 20,306"
"Male","25-29","9/30/2010"," 66,968"
"Male","30-34","9/30/2010"," 74,063"
"Male","35-39","9/30/2010"," 73,083"
"Male","40-44","9/30/2010"," 96,901"
"Male","45-49","9/30/2010"," 120,018"
"Male","50-54","9/30/2010"," 144,436"
"Male","55-59","9/30/2010"," 152,695"
"Male","60-64","9/30/2010"," 259,629"
"Male","65-69","9/30/2010"," 193,910"
"Male","70-74","9/30/2010"," 148,439"
"Male","75-79","9/30/2010"," 146,770"
"Male","80-84","9/30/2010"," 129,325"
"Male","85+","9/30/2010"," 130,329"
"Male","20 <","9/30/2010"," 55"
"Male","20-24","9/30/2010"," 2,830"
"Male","25-29","9/30/2010"," 8,770"
"Male","30-34","9/30/2010"," 12,947"
"Male","35-39","9/30/2010"," 17,241"
"Male","40-44","9/30/2010"," 25,872"
"Male","45-49","9/30/2010"," 30,345"
"Male","50-54","9/30/2010"," 33,448"
"Male","55-59","9/30/2010"," 34,473"
"Male","60-64","9/30/2010"," 57,198"
