"Web Service","Service Desc.","Last Changed Date","Contact","Methods","Dimensions"
"AddressWebService","N/A","10-27-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllPtcpntAddrsByPtcpntId ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AddressWebService","N/A","10-27-11","Cory Easley
512-326-6316
cory.easley@va.gov","findPtcpntAddrs ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AddressWebService","N/A","10-27-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAllPtcpntAddrsByFileNumber ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AddressWebService","N/A","10-27-11","Cory Easley
512-326-6316
cory.easley@va.gov","findPtcpntAddrsByPtcpntAddrsId","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AwardWebService","N/A","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteranAwardCmpsitBySSN ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AwardWebService","N/A","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteranAwardCmpsitByFileNumber ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AwardWebService","N/A","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findVeteranAwardCmpsitByPtcpntId ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AwardWebService","N/A","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findStationOfJurisdiction ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"AwardWebService","N/A","10-17-11","Cory Easley
512-326-6316
cory.easley@va.gov","findAwardBeneByPtcpntVetId ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"BenefitClaimWebService","N/A","10-20-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBnftClaimByPtcpntVetId ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
"BenefitClaimWebService","N/A","10-20-11","Cory Easley
512-326-6316
cory.easley@va.gov","findBnftClaim ","Dimensions location for the above services: 
CDD:CDD_XXX  \CorporateDataEJB\src\gov\va\vba\vonapp\services    (Where XXX is the latest version number.)
BENEFITS:SHARE_2.3  \apps\share\share-ejb\src\gov\va\vba\benefits\share\services"
