state,county,vet population,latitude,longitude
Alabama,Autauga,6008,32.5078552045274,-86.6661135694372
Alabama,Baldwin,20212,33.0566340804086,-83.2370455643864
Alabama,Barbour,2405,39.125200483375,-80.018569453032
Alabama,Bibb,1322,32.8086436262932,-83.691028089259
Alabama,Blount,4826,35.6739333328349,-83.9256190591601
Alabama,Bullock,875,32.0926711861858,-85.7047505751366
Alabama,Butler,1928,40.9213313449965,-79.9279729403592
Alabama,Calhoun,12122,38.8284119076434,-81.1317266043275
Alabama,Chambers,3178,29.6908571371502,-94.6857966932814
Alabama,Cherokee,2220,31.7840098974578,-95.1625094947127
Alabama,Chilton,3371,32.8668413860897,-86.6971123762017
Alabama,Choctaw,1050,34.0141490949583,-95.5734688062914
Alabama,Clarke,1854,39.1220006065477,-77.9900475368282
Alabama,Clay,1261,38.4658258646504,-81.0505297298349
Alabama,Cleburne,1044,35.5353386677526,-92.0213074322184
Alabama,Coffee,7028,35.4977401150319,-86.0747363332926
Alabama,Colbert,4920,34.7369693993423,-87.7778707746208
Alabama,Conecuh,1272,31.4678952356563,-87.0446989965666
Alabama,Coosa,1062,32.9290389919202,-86.2637290584048
Alabama,Covington,3656,37.7840521081347,-79.9877706385693
Alabama,Crenshaw,929,31.7458845350276,-86.3217268258995
Alabama,Cullman,7214,34.086194449591,-86.8011083730888
Alabama,Dale,7106,31.4072975682394,-85.6039544550767
Alabama,Dallas,2992,32.7675725165029,-96.778949453589
Alabama,DeKalb,4475,35.9787216006348,-85.8469451016495
Alabama,Elmore,9259,43.4333365163426,-115.620064025101
Alabama,Escambia,3159,30.6141280996735,-87.2756901050371
Alabama,Etowah,9307,34.0213969438383,-86.0537371416135
Alabama,Fayette,1383,38.0412422081286,-81.0649291755577
Alabama,Franklin,1870,46.4662162357936,-118.833765841647
Alabama,Geneva,2732,31.0965095313883,-85.8397453787881
Alabama,Greene,565,38.330031091792,-78.4744288915601
Alabama,Hale,980,34.0689436698355,-101.82826952852
Alabama,Henry,1814,36.6990938713797,-79.8677752575457
Alabama,Houston,9117,31.2607217073809,-95.3597699642705
Alabama,Jackson,4133,44.3337999890057,-90.7391567859813
Alabama,Jefferson,50787,43.0202505514008,-88.7746324063234
Alabama,Lamar,1267,33.6607240870006,-95.581687992523
Alabama,Lauderdale,7723,35.7429306769234,-89.6497987185888
Alabama,Lawrence,2294,35.2287504692373,-87.4016852551118
Alabama,Lee,10660,36.7434921623585,-83.2232460955687
Alabama,Limestone,8467,31.5182562093035,-96.584428712775
Alabama,Lowndes,744,33.5160163974273,-88.4602445080416
Alabama,Macon,1722,36.5257005458006,-86.0085388814279
Alabama,Madison,38334,38.4286272965331,-78.2678368438978
Alabama,Marengo,1482,32.2676644501785,-87.7952701048692
Alabama,Marion,2399,39.5125855717795,-80.2165618317209
Alabama,Marshall,7455,39.8771715377895,-80.6945434327982
Alabama,Mobile,33910,30.6599263367641,-88.1778553780328
Alabama,Monroe,1569,43.941815077662,-90.6451604041795
Alabama,Montgomery,20273,37.1740755879315,-80.3957549340495
